name,address,categories,zip_code,phone,rating,url
Richard H Stern,30 Newbury St,"['Accountants', 'Tax Services', 'Business Consulting']",02116,(561) 699-0571,5.0,https://www.yelp.com/biz/richard-h-stern-boston?adjust_creative=kxsfT7cHeHFlLc1wmw4UhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kxsfT7cHeHFlLc1wmw4UhA
Slick Boston Solutions,282 Hanover St,"['Web Design', 'Marketing', 'Advertising']",02113,(617) 901-3582,5.0,https://www.yelp.com/biz/slick-boston-solutions-boston-2?adjust_creative=kxsfT7cHeHFlLc1wmw4UhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kxsfT7cHeHFlLc1wmw4UhA
Tactical-Moves,90 Wareham St,"['Web Design', 'Marketing']",02118,(617) 858-5802,5.0,https://www.yelp.com/biz/tactical-moves-boston-6?adjust_creative=kxsfT7cHeHFlLc1wmw4UhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kxsfT7cHeHFlLc1wmw4UhA
"David Miller, CPA",625 Massachusetts Ave,"['Tax Services', 'Accountants', 'Bookkeepers']",02139,(617) 430-4492,5.0,https://www.yelp.com/biz/david-miller-cpa-cambridge?adjust_creative=kxsfT7cHeHFlLc1wmw4UhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kxsfT7cHeHFlLc1wmw4UhA
Tommy Wisdom,,"['Session Photography', 'Graphic Design', 'Marketing']",02101,(781) 367-0359,5.0,https://www.yelp.com/biz/tommy-wisdom-boston-2?adjust_creative=kxsfT7cHeHFlLc1wmw4UhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kxsfT7cHeHFlLc1wmw4UhA
Imagix Studio,10 Bremen St,"['Photographers', 'Graphic Design']",02128,(617) 935-3414,5.0,https://www.yelp.com/biz/imagix-studio-boston-2?adjust_creative=kxsfT7cHeHFlLc1wmw4UhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kxsfT7cHeHFlLc1wmw4UhA
Social Thrive,745 Atlantic Ave,"['Marketing', 'Web Design', 'Graphic Design']",02111,(774) 202-9061,5.0,https://www.yelp.com/biz/social-thrive-boston?adjust_creative=kxsfT7cHeHFlLc1wmw4UhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kxsfT7cHeHFlLc1wmw4UhA
Boston Logic Technology Partners,321 Summer St,"['Web Design', 'Marketing', 'Software Development']",02210,(617) 266-9166,3.0,https://www.yelp.com/biz/boston-logic-technology-partners-boston?adjust_creative=kxsfT7cHeHFlLc1wmw4UhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kxsfT7cHeHFlLc1wmw4UhA
ThriveHive,10 Milk St,"['Marketing', 'Web Design']",02108,(617) 390-8040,4.0,https://www.yelp.com/biz/thrivehive-boston?adjust_creative=kxsfT7cHeHFlLc1wmw4UhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kxsfT7cHeHFlLc1wmw4UhA
Busy Bee Restaurant,1046 Beacon St,"['Diners', 'Seafood', 'Breakfast & Brunch']",02446,(617) 566-8733,3.5,https://www.yelp.com/biz/busy-bee-restaurant-brookline-2?adjust_creative=kxsfT7cHeHFlLc1wmw4UhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kxsfT7cHeHFlLc1wmw4UhA
